1,Ducati,Panigale V4,AA123BB,1103,18000,5,25000,ARRIVED
2,BMW,R 1250 GS,CC456DD,1254,14000,10,21000,ARRIVED
3,Honda,Africa Twin,EE789FF,1084,11000,0,15500,ARRIVED
4,Yamaha,MT-09,GG012HH,890,7500,2,10500,ARRIVED
5,Kawasaki,Z900,II345JJ,948,7000,0,9800,ARRIVED
6,KTM,390 Duke,KK678LL,373,4500,15,6200,ARRIVED
7,Triumph,Street Triple,MM901NN,765,8500,4,12000,ARRIVED
8,Harley-Davidson,Iron 883,OO234PP,883,9000,8,11500,ARRIVED
9,Aprilia,RS 660,QQ567RR,659,9500,1,13000,ARRIVED
10,Moto Guzzi,V7 Stone,SS890TT,853,7200,3,9500,ARRIVED
